Code,Governance Units,Provinces,Districts,Name of Government Unit,Total population,Total expected live birth,Population under 1 year,Population 12 - 23 months,Nutrition (0-23 Month),Nutrition (6-23 months),Population under 5 years ARI/ CDD/ Nutrition,Population aged 6-59 months,Nutrition (12-59 Month),Adolescent population aged 10-19 years,Female population aged 15-49 years,Married Female population aged 15-49 years,Total expected pregnancies
30208,Rural Municipality,Province 3,Sindhupalchok,Balephi Rural Municipality,19440,435,421,387,808,598,1878,1668,1457,4178,5649,4282,513
30209,Municipality ,Province 3,Sindhupalchok,Bahrabise Municipality,27605,618,598,559,1157,858,2767,2468,2169,5899,8038,6093,729
30210,Rural Municipality,Province 3,Sindhupalchok,Tripurasundari Rural Municipality,13396,300,290,289,579,434,1370,1225,1080,2799,3966,3006,354
30211,Rural Municipality,Province 3,Sindhupalchok,Lisankhu Pakhar Rural Municipality,15241,341,330,229,559,394,1197,1032,867,3559,4543,3444,402
30212,Rural Municipality,Province 3,Sindhupalchok,Sunkoshi Rural Municipality,17503,392,379,345,724,535,1646,1457,1267,3693,5486,4158,462
30301,Rural Municipality,Province 3,Rasuwa,Gosaikunda Rural Municipality,8504,187,182,149,331,240,742,651,560,1538,2211,1675,220
30302,Rural Municipality,Province 3,Rasuwa,Parbatikunda Rural Municipality,5694,126,122,161,283,222,711,650,589,1078,1488,1128,149
30303,Rural Municipality,Province 3,Rasuwa,Uttargaya Rural Municipality,8551,189,182,164,346,255,809,718,627,1975,2715,2058,223
30304,Rural Municipality,Province 3,Rasuwa,Kalika Rural Municipality,9847,217,210,168,378,273,874,769,664,2245,3080,2335,256
30305,Rural Municipality,Province 3,Rasuwa,Naukunda Rural Municipality,12061,266,257,311,568,440,1450,1322,1193,2661,3286,2491,314
30401,Rural Municipality,Province 3,Dhading,Rubi Valley Rural Municipality,9858,227,219,312,531,422,1315,1206,1096,1853,2731,2070,268
30402,Rural Municipality,Province 3,Dhading,Khaniyabas Rural Municipality,12993,299,289,360,649,505,1611,1467,1322,2753,3585,2717,353
30403,Rural Municipality,Province 3,Dhading,Ganga Jamuna Rural Municipality,22324,513,497,487,984,736,2228,1980,1731,4983,7059,5351,605
30404,Rural Municipality,Province 3,Dhading,Tripurasundari Rural Municipality,23661,544,526,472,998,735,2255,1992,1729,5269,7737,5865,642
30405,Rural Municipality,Province 3,Dhading,Netrawati Rural Municipality,13100,301,291,254,545,400,1204,1059,913,2934,4141,3139,355
30406,Municipality ,Province 3,Dhading,Nilkhantha Municipality,61149,1406,1360,1224,2584,1904,6108,5428,4748,13103,19417,14718,1658
30407,Rural Municipality,Province 3,Dhading,Jwalamukhi Rural Municipality,24481,563,545,521,1066,794,2511,2239,1966,5228,7747,5872,664
30408,Rural Municipality,Province 3,Dhading,Siddhalek Rural Municipality,24499,563,545,497,1042,770,2466,2194,1921,5420,7525,5704,664
30409,Rural Municipality,Province 3,Dhading,Benighat Rorang Rural Municipality,33049,760,735,898,1633,1266,4152,3785,3417,6847,8790,6663,896
30410,Rural Municipality,Province 3,Dhading,Gajuri Rural Municipality,29418,676,655,691,1346,1019,3339,3012,2684,6000,7858,5956,797
30411,Rural Municipality,Province 3,Dhading,Galchhi Rural Municipality,27483,632,611,500,1111,806,2600,2295,1989,5964,7768,5888,745
30412,Rural Municipality,Province 3,Dhading,Thakre Rural Municipality,34738,799,773,627,1400,1014,3282,2896,2509,7349,10050,7618,942
30413,Municipality ,Province 3,Dhading,Dhunibenshi Municipality,33074,759,737,524,1261,888,2758,2385,2021,6531,9927,7525,894
30501,Rural Municipality,Province 3,Nuwakot,Dupcheshwor Rural Municipality,22851,514,497,647,1144,896,3003,2755,2506,4522,5658,4289,606
30502,Rural Municipality,Province 3,Nuwakot,Tadi Rural Municipality,18304,411,398,376,774,575,1832,1633,1434,3949,4866,3688,485
30503,Rural Municipality,Province 3,Nuwakot,Suryagadhi Rural Municipality,17204,387,374,377,751,564,1865,1678,1491,3613,4745,3597,456
30504,Municipality ,Province 3,Nuwakot,Bidur Municipality,57756,1298,1256,1094,2350,1719,5439,4808,4183,11841,18321,13886,1530
30505,Rural Municipality,Province 3,Nuwakot,Kispang Rural Municipality,15129,340,329,336,665,501,1608,1444,1279,3225,4336,3287,401
30506,Rural Municipality,Province 3,Nuwakot,Meghang Rural Municipality,13816,311,301,360,661,511,1559,1409,1258,2847,4194,3179,367
30507,Rural Municipality,Province 3,Nuwakot,Tarakeshwor Rural Municipality,15890,357,346,378,724,551,1775,1602,1429,3436,4696,3560,421
30508,Municipality ,Province 3,Nuwakot,Belkotgadhi Municipality,41913,942,912,891,1803,1347,4381,3925,3469,9281,12131,9195,1111
30509,Rural Municipality,Province 3,Nuwakot,Likhu Rural Municipality,17521,394,381,357,738,548,1661,1471,1280,3635,5491,4162,465
30510,Rural Municipality,Province 3,Nuwakot,Panchakanya Rural Municipality,16340,367,355,314,669,492,1553,1376,1198,3620,4750,3601,433
30511,Rural Municipality,Province 3,Nuwakot,Shivapuri Rural Municipality,21040,473,458,426,884,655,2045,1816,1587,4731,6018,4562,558
30512,Rural Municipality,Province 3,Nuwakot,Kakani Rural Municipality,27531,619,599,502,1101,802,2544,2245,1945,5910,7999,6063,730
30601,Municipality ,Province 3,Kathmandu,Shankharapur Municipality,32347,657,643,787,1430,1109,3499,3178,2856,7197,7794,5908,775
30602,Municipality ,Province 3,Kathmandu,Kageshwori Manahara Municipality,74218,1509,1476,1901,3377,2639,8521,7783,7045,16075,19612,14866,1779
30603,Municipality ,Province 3,Kathmandu,Gokarneshwor Municipality,133546,2715,2657,3628,6285,4957,16208,14880,13551,32193,36005,27292,3202
30604,Municipality ,Province 3,Kathmandu,Budhanilkhantha Municipality,135943,2763,2704,3217,5921,4569,14741,13389,12037,31162,36443,27624,3258
30605,Municipality ,Province 3,Kathmandu,Tokha Municipality,121253,2465,2412,2939,5351,4145,13906,12700,11494,27907,32700,24787,2907
30606,Municipality ,Province 3,Kathmandu,Tarakeshwor Municipality,99362,2020,1977,2661,4638,3650,11835,10847,9858,22427,26381,19997,2382
30607,Municipality ,Province 3,Kathmandu,Nagarjun Municipality,82967,1686,1651,2022,3673,2848,9228,8403,7577,17216,22262,16875,1988
30608,Metropolitan City,Province 3,Kathmandu,Kathmandu Metropolitan City,1201202,24416,23897,24084,47981,36025,116762,104806,92865,249667,316157,239646,28792
30609,Municipality ,Province 3,Kathmandu,Kirtipur Municipality,79150,1609,1575,1370,2945,2158,6797,6010,5222,14835,20040,15190,1897
30610,Municipality ,Province 3,Kathmandu,Chandragiri Municipality,106480,2164,2118,2682,4800,3741,12009,10950,9891,22011,27947,21184,2552
30611,Municipality ,Province 3,Kathmandu,Dakshinkali Municipality,31987,650,636,688,1324,1006,3167,2849,2531,7273,8036,6091,767
30701,Municipality ,Province 3,Bhaktapur,Changunarayan Municipality,67255,1394,1365,1488,2853,2171,6887,6205,5522,14185,17409,13196,1644
30702,Municipality ,Province 3,Bhaktapur,Bhaktapur Municipality,96395,2000,1956,1906,3862,2883,9248,8269,7292,21436,25765,19530,2359
30703,Municipality ,Province 3,Bhaktapur,Madhyapur Thimi Municipality,96717,2005,1963,2160,4123,3142,10424,9443,8461,19966,26139,19813,2364
30704,Municipality ,Province 3,Bhaktapur,Suryabinayak Municipality,91080,1888,1848,2096,3944,3020,9686,8762,7838,19374,25221,19118,2226
30801,Municipality ,Province 3,Lalitpur,Mahalaxmi Municipality,72770,1511,1478,1719,3197,2458,7928,7189,6450,15277,20146,15271,1782
30802,Metropolitan City,Province 3,Lalitpur,Lalitpur Metropolitan City,337650,7009,6861,6722,13583,10151,32831,29399,25970,69582,91724,69526,8265
30803,Municipality ,Province 3,Lalitpur,Godawari Municipality,94058,1953,1911,2242,4153,3198,10120,9165,8209,21207,25415,19265,2303
30804,Rural Municipality,Province 3,Lalitpur,Konjyosom Rural Municipality,11723,243,238,302,540,421,1448,1329,1210,3080,2852,2162,287
30805,Rural Municipality,Province 3,Lalitpur,Mahankal Rural Municipality,11468,238,233,314,547,431,1421,1305,1188,2918,2691,2040,281
30806,Rural Municipality,Province 3,Lalitpur,Bagmati Rural Municipality,15907,330,323,529,852,691,2307,2146,1984,3869,3569,2705,389
30901,Rural Municipality,Province 3,Kavrepalanchok,Chauri Deurali Rural Municipality,21182,472,457,433,890,662,2123,1895,1666,4939,5852,4436,557
