"","Code","fid","Governance.Units","Provinces","Districts","Name.of.Government.Unit","Hospital","Primary.Health.Care.Centers","Health.Post","Urban.Health.Centers","Community.Health.Unit","Other.Health.Facilities","Total","Non.public.health.facilities","Total.health.facilities..Public.and.Non.Public.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"77",10702,78,"Municipality ","Koshi Province","Dhankuta","Pakhribas Municipality",0,0,6,1,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"78",10706,79,"Rural Municipality","Koshi Province","Dhankuta","Sangurigadhi Rural Municipality",0,1,7,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"79",10801,80,"Rural Municipality","Koshi Province","Terhathum","Aatharai Rural Municipality",0,1,6,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"80",10806,81,"Rural Municipality","Koshi Province","Terhathum","Chhathar Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"81",10805,82,"Municipality ","Koshi Province","Terhathum","Laligurans Municipality",0,1,4,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"82",10803,83,"Rural Municipality","Koshi Province","Terhathum","Menchhayayem Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"83",10804,84,"Municipality ","Koshi Province","Terhathum","Myanglung Municipality",1,0,5,1,0,0,7,1,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"84",10802,85,"Rural Municipality","Koshi Province","Terhathum","Phedap Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"85",10201,86,"Rural Municipality","Koshi Province","Sankhuwasabha","Bhotkhola Rural Municipality",0,0,3,0,2,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"86",10208,87,"Municipality ","Koshi Province","Sankhuwasabha","Chainapur Municipality",0,1,5,1,2,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"87",10204,88,"Rural Municipality","Koshi Province","Sankhuwasabha","Chichila Rural Municipality",0,0,2,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,""
